time_sec,dbfs
0.0,-35.715753185572574
0.1,-36.02104496845929
0.2,-37.36049675115686
0.3,-38.005525853418966
0.4,-37.74725894429731
0.5,-36.63975501067171
0.6,-37.81914769827098
0.7,-34.59557086159165
0.8,-35.72947688802915
0.9,-34.96740553827517
1.0,-36.54557594501402
1.1,-36.40649851841074
1.2,-35.38844556952784
1.3,-34.50374717495495
1.4,-34.85552661169625
1.5,-36.27161948116091
1.6,-36.89404835221025
1.7,-35.02359712279534
1.8,-35.156832314272826
1.9,-35.864384303047
2.0,-35.19322599794084
2.1,-34.638063176281804
2.2,-35.17019322173152
2.3,-34.844904709309816
2.4,-38.17977296496591
2.5,-35.9157728342382
2.6,-36.66554201105426
2.7,-36.074247520832756
2.8,-35.832438207537805
2.9,-33.67148698575787
3.0,-33.88189804058494
3.1,-34.439398121427665
3.2,-35.4007321221646
3.3,-32.62688384387283
3.4,-35.57117570558972
3.5,-35.7378372020994
3.6,-33.267456340199146
3.7,-34.52388661042022
3.8,-35.355773775275836
3.9,-32.67120644235648
4.0,-34.639475696428626
4.1,-33.095499788861325
4.2,-34.81974702810814
4.3,-35.628408205751775
4.4,-35.49754506082812
4.5,-35.940596468243015
4.6,-33.40240511363839
4.7,-34.31188632540192
4.8,-34.096894719125565
4.9,-34.65105534423007
5.0,-33.96987404214455
5.1,-35.648041617435936
5.2,-34.177711488752806
5.3,-35.79947167430885
5.4,-35.925430110096826
5.5,-33.3327906518242
5.6,-34.206376304362436
5.7,-34.07950575083588
5.8,-35.32166541555452
5.9,-33.4469298527316
6.0,-34.51681801332467
6.1,-35.31713803290923
6.2,-35.72011867577111
6.3,-36.89040485027255
6.4,-37.28356166608292
6.5,-37.10162374457027
6.6,-39.369253060737705
6.7,-37.617690160361704
6.8,-34.94117979414837
6.9,-35.1881325073766
7.0,-37.57070923994061
7.1,-37.70314019547995
7.2,-39.44430896423987
7.3,-38.320584771271434
7.4,-34.52335253426294
7.5,-36.09759401714106
7.6,-38.233165176272486
7.7,-40.059710698402206
7.8,-37.14741963390933
7.9,-34.80122544918282
8.0,-35.682443331464725
8.1,-36.40371493012785
8.2,-36.23958929100923
8.3,-37.7582268743665
8.4,-38.09444320638241
8.5,-38.22789791019245
8.6,-38.32280941740789
8.7,-36.36110143414686
8.8,-31.013875994451283
8.9,-32.43794338363952
9.0,-35.13135886522218
9.1,-39.02818078957423
9.2,-37.996723581178315
9.3,-38.72015117334936
9.4,-37.660265067935384
9.5,-37.97701058301136
9.6,-35.373483258395304
9.7,-35.820368043714446
9.8,-35.75618623271676
9.9,-35.914396385802526
10.0,-35.635400971356354
10.1,-37.812077894203185
10.2,-37.89781110064023
10.3,-38.509235136010574
10.4,-37.069415776582424
10.5,-37.25943716225699
10.6,-39.45474677250127
10.7,-36.01827265630579
10.8,-37.71025238632374
10.9,-39.04191507666373
11.0,-41.32534497737776
11.1,-39.939402104628556
11.2,-39.22466344603562
11.3,-39.792666373003215
11.4,-38.18210244589367
11.5,-37.53380153563512
11.6,-36.74568152101435
11.7,-36.17628211175963
11.8,-34.139193603280034
11.9,-35.54693669792372
12.0,-40.23366473735828
12.1,-39.262238500169715
12.2,-39.379661338234
12.3,-39.02815861843258
12.4,-37.25102697370453
12.5,-37.837768705739144
12.6,-36.72664575562853
12.7,-35.30517835098643
12.8,-35.256375265020935
12.9,-36.34557264158389
13.0,-36.09325439884842
13.1,-35.6389875139779
13.2,-37.246177782615234
13.3,-37.6358969113931
13.4,-36.36222357774889
13.5,-33.35876299325906
13.6,-35.03186202269232
13.7,-36.80716478297625
13.8,-37.46564723810622
13.9,-35.58770425040268
14.0,-36.753458168188416
14.1,-39.84629920100666
14.2,-39.728239419022515
14.3,-38.55819517545774
14.4,-37.27950371601223
14.5,-38.79861188176517
14.6,-37.14495194159903
14.7,-39.69865185476573
14.8,-39.97818776731874
14.9,-42.37141988708779
15.0,-39.48486905229214
15.1,-36.043745531748456
15.2,-39.16304967722891
15.3,-38.11374965061723
15.4,-41.357992410048475
15.5,-40.114362308794284
15.6,-37.98521398273226
15.7,-36.365368771849965
15.8,-36.33516861119551
15.9,-37.69172295950752
16.0,-34.913548474793636
16.1,-36.65828233886738
16.2,-41.286415689373314
16.3,-37.57929577185983
16.4,-38.902800131969
16.5,-36.542001485053575
16.6,-35.1504728713124
16.7,-37.3980259808595
16.8,-35.98608321534168
16.9,-35.10124172647505
17.0,-36.69349851342135
17.1,-35.28017778067077
17.2,-35.28891075012041
17.3,-37.1904497564991
17.4,-37.099740486069535
17.5,-37.188870466407934
17.6,-36.86662583252434
17.7,-35.82189103734847
17.8,-33.42969452733595
17.9,-36.70762057223505
18.0,-37.10109578394168
18.1,-36.48367166753215
18.2,-36.34071616589923
18.3,-39.10255579248181
18.4,-36.05239902164981
18.5,-36.03863479654346
18.6,-36.96176243880483
18.7,-35.61096482997764
18.8,-35.84913910233021
18.9,-36.06188389439749
19.0,-38.77015798263638
19.1,-37.10443540191671
19.2,-36.90375917427244
19.3,-36.322266271241844
19.4,-37.0510601548152
19.5,-40.01141269155219
19.6,-40.74577803122107
19.7,-37.82962981844621
19.8,-36.65698738116775
19.9,-40.5489631813292
20.0,-37.703839841776315
20.1,-37.358543064536946
20.2,-39.225736088822316
20.3,-37.69922265638978
20.4,-39.52821574997824
20.5,-41.29993294823684
20.6,-37.69758294797431
20.7,-34.36100842907879
20.8,-37.89503240854725
20.9,-37.05158972144052
21.0,-36.14558166562977
21.1,-35.233037750667236
21.2,-32.76387457039461
21.3,-35.98817304188106
21.4,-32.52499599984673
21.5,-34.28860957992862
21.6,-35.685667889213924
21.7,-39.558549318707975
21.8,-36.623299163557995
21.9,-37.40325974277542
22.0,-38.841094182351085
22.1,-36.311728457387005
22.2,-38.41501513143024
22.3,-37.640279228225594
22.4,-35.84748208313205
22.5,-33.62799247216583
22.6,-34.69841584529999
22.7,-36.25904012411158
22.8,-36.69569074343237
22.9,-36.95813737194224
23.0,-38.51212960803819
23.1,-37.9526181536233
23.2,-38.22975170211437
23.3,-38.157400320420535
23.4,-35.363004459033284
23.5,-35.42487695008334
23.6,-36.20506256325462
23.7,-38.618274613507175
23.8,-40.479982055994185
23.9,-41.23704083963554
24.0,-42.319157087670646
24.1,-39.620789342663045
24.2,-42.33906018235181
24.3,-37.86672785570032
24.4,-39.18401050615191
24.5,-37.84641711742883
24.6,-35.1295127466889
24.7,-35.585848668748284
24.8,-35.89119563386032
24.9,-36.802588063788
25.0,-36.32832665250398
25.1,-37.34718858790843
25.2,-37.14649493511114
25.3,-37.4711287638688
25.4,-37.672350006928006
25.5,-39.874944544497346
25.6,-34.77490274468847
25.7,-35.47444342302579
25.8,-37.19774457137278
25.9,-37.58277362084713
26.0,-36.182719781032674
26.1,-33.33899172961951
26.2,-32.37654372052246
26.3,-36.53002115718787
26.4,-37.94644626120156
26.5,-39.22102149610736
26.6,-37.20632895667515
26.7,-37.64944254695132
26.8,-36.59056966520301
26.9,-34.11198730043297
27.0,-35.75548196461614
27.1,-40.761271061486966
27.2,-34.676195853432574
27.3,-36.09170114583093
27.4,-36.18294589831871
27.5,-39.41058291935667
27.6,-38.26125151122702
27.7,-34.33913364100476
27.8,-34.24414382021011
27.9,-32.428565227627644
28.0,-36.44091187632745
28.1,-35.91956799451938
28.2,-37.33651638786279
28.3,-39.141564591504604
28.4,-37.69278566107722
28.5,-37.52876126629894
28.6,-40.51297740942968
28.7,-39.341026230835816
28.8,-38.55881328221415
28.9,-37.859053625379346
29.0,-38.401100331662626
29.1,-39.1192970738681
29.2,-38.349479030444826
29.3,-37.191373773466296
29.4,-36.87473908376561
29.5,-36.6559696058282
29.6,-37.29536830261385
29.7,-36.004362779200534
29.8,-38.402456282645346
29.9,-38.579329355193906
30.0,-36.15679590307607
30.1,-33.26646028926379
30.2,-33.63470267406625
30.3,-30.018123237317702
30.4,-35.38783360522731
30.5,-36.36642787418599
30.6,-35.94998600041683
30.7,-34.20530728395347
30.8,-39.37217218048323
30.9,-34.90698487866298
31.0,-35.17521989315369
31.1,-33.69440532977763
31.2,-32.03204366831929
31.3,-35.70937114704015
31.4,-33.4673823112108
31.5,-33.091367402348446
31.6,-31.200749652385564
31.7,-33.12456169568469
31.8,-34.553574689823265
31.9,-36.10155540610988
32.0,-35.369873494298744
32.1,-37.7405495331585
32.2,-38.650844033359824
32.3,-34.45849324262306
32.4,-34.886609683975756
32.5,-38.463704657769064
32.6,-39.95724245820565
32.7,-40.32097346440697
32.8,-40.427445981848905
32.9,-40.7477497316213
33.0,-39.77619968215952
33.1,-39.50968038407375
33.2,-37.56260826853429
33.3,-36.862975988167264
33.4,-36.63976873582201
33.5,-37.128173966678176
33.6,-36.2511818254971
33.7,-39.409871297054565
33.8,-38.46197340606891
33.9,-34.70573912042973
34.0,-35.6509854149573
34.1,-39.71616741901243
34.2,-36.262338196971385
34.3,-37.43401738732916
34.4,-36.403435100115274
34.5,-39.13472645784651
34.6,-37.94524760715063
34.7,-35.7068456616548
34.8,-35.36477592201734
34.9,-37.21396009542862
35.0,-38.72728422702006
35.1,-39.03800366576532
35.2,-38.84452898101807
35.3,-37.69724878796964
35.4,-35.24546584664476
35.5,-37.007825275937584
35.6,-36.24111799385075
35.7,-35.04511279962993
35.8,-35.62619295256266
